source,appid,game_name,is_dlc,player_type,review_id,steam_language,created_at,updated_at,voted_up,votes_up,votes_funny,comment_count,weighted_vote_score,steam_purchase_type,received_for_free,written_during_early_access,steam_deck,review_text,author_steamid,author_num_games_owned,author_num_reviews,author_playtime_forever,author_playtime_last_two_weeks,author_playtime_at_review,author_last_played
steam,580100,Crimson Court,True,unknown,206826043,english,2025-10-16T02:25:45+00:00,2025-10-16T02:25:45+00:00,False,79,40,0,0.837761282920837402,,False,False,,"Does The Crimson Court make the game harder? Yes. Are the mechanics of the Crimson Curse annoying to micromanage? Yes. Overall, is the DLC well designed? No. BUT, does it make the game more fun to play? Also no.",76561198219954049,120,5,0,0,,1970-01-01T00:00:00+00:00
steam,580100,Crimson Court,True,unknown,187494941,english,2025-02-08T19:57:33+00:00,2025-02-16T17:22:11+00:00,True,27,2,0,0.771408200263977051,,False,False,,"Once you start this DLC you NEED to finish it. You can dance around the other DLC(Color of Madness) if you're stubborn and Butcher's Circus is completely optional. This is not. This is a 'I beat the game and want to do something new!' not a 'this will integrate well with my experience once I start getting level whatever heroes consistently and master some mechanics'. I will show up at your home on my hands and knees begging you to not enable this DLC until you are endgame or near it. Monsters from this DLC can appear in other dungeons and while it's not guaranteed the Crimson Curse is pretty easily transmissible, and it's effect are very hard to deal with when your roster starts getting more and more infected with limited supplies to deal with it. Frankly it's really easy for Crimson Court to overwhelm your game, even softlock you.

I started it on a file where I had already beaten the game and I actually found it really engaging. A infectious disease DOES spread like wildfire, it DOES make sense close quarters might spread it, disease spreading rampantly and dominating my town DOES make sense to me, you DO need to mitigate or treat a disease and it's more negatives than positives(unless you're metagaming and optimizing). I though it was very cool. I thought the enemies were very cool. If I was unfortunate enough to play it early-mid game I can see it completely ruining things for me. The repetition is also an issue and I personally really hate an invitation mechanic. It forces you to grind even longer for a chance at progressing the plot. I would get this on sale exclusively AFTER you've beaten the game or are at the endgame.

Generic tips and tricks for the interested:

-Please don't do it man, take the left mouse button off your finger on the DLC enable screen man, it's not worth it yet. Beat the game or get to endgame first

-Be prepared for the Crimson Curse to dominate your roster eventually. I kept a dedicated team to rotate in and out with strict placement to avoid the spread, flat out fleeing combat with anything that might infect others

-The Flagellant is a very interesting and cool new character to have on your team. I think his presence alone made the DLC much more engaging

-There are certain trinkets that are borderline mandatory to defeat the last boss, and there is not a guarantee you will get all of them before having the opportunity to fight. Be aware there is an optimal way to do it",76561198400890911,27,61,0,0,,1970-01-01T00:00:00+00:00
steam,580100,Crimson Court,True,unknown,190390004,english,2025-03-16T18:28:49+00:00,2025-03-16T18:28:49+00:00,False,24,1,0,0.739126384258270264,,False,False,,"I feel conflicted about this DLC.

On one hand, it introduces a new region with cool map mechanics, a new hero, and a ton of interesting monsters. On the other hand, this expansion does the cardinal sin of mixing DLC content with base game content. The end result is that Crimson Court's monsters, of which there are many annoying ones, eventually flood all other regions.

My advice? Beat the base game first, and only then activate the Crimson Court.",76561197990586203,0,12,0,0,,1970-01-01T00:00:00+00:00
steam,580100,Crimson Court,True,unknown,197465625,english,2025-06-17T15:26:00+00:00,2025-06-17T15:26:00+00:00,True,26,1,0,0.731242835521697998,,False,False,,"While I can understand the mixed reception I think this is ultimately a pretty great DLC. If i had to guess, the disconnect between those who like it and those who do not might largely comes from 2 elements: 1. The Fanatic and Investation feel cheap to the new player with how hard it can be to avoid infection and not take infected party members with you on quests at times and 2. Crimson Court's content warping the game around it rather than enhancing the base game.

My thoughts are as follows:
1. Yes, the Fanatic absolutely is cheap and frankly, I don't like his inclusion in his current state. He is my major problem with  this DLC because unlike other RNG mechanics like The Things From The Stars or Bloodsucker encounters, he feels nearly impossible to be prepared for at all times. Crimson Curse can spread so fast due to infestation that it is not an uncommon occurrence that an average skill player will *have* to take infected party members with them for a decent composition. However, having a decent composition that is *also* good at staying healthy AND fighting off the Fanatic is a big ask for something that is completely up to chance. Compare this to The Thing From The Stars, who is also a random encounter but is shown to roam one specific area on the map at a time. This means that if your current available party members are not good at fighting him, you can simply avoid that area for the time being. The Fanatic is ALWAYS there, can show up at any point during most quests so long as one VERY common condition is met, and he is extremely dangerous. It's not very fun, especially for players new to the DLC.

2. I feel the rest is a general disconnect between a decent part of the playerbase and what I believe Red Hook was trying to accomplish with the DLC. I think *because* it is paid DLC many people might come into Crimson Court with the expectation that since they had a pay a decent amount for it, this is content *any* darkest dungeon will be able to enjoy rather than a rework of the main campaign designed for hardcore fans to make an already hard game EVEN harder. The game warns you that this is not the case, and that you should play this only after beating a regular campaign, and I do wonder how many of the players who walked away disliking the DLC took this warning seriously seeing as quite a few Crimson Court DLC achievements have a higher completion rate than beating the base game on Radiant, or how many base game players really tried to change and adapt their playstyle to fit the new challenges and needs the DLC presents. Infestation can seem annoying or unfair at first, but focusing on collecting a significant amount of trinkets that buff your units against bloodsuckers specifically will help out a lot when dealing with these additional random encounters, while also increasing your ability to deal with threats in the Courtyard. The Crimson Curse is also a new thing you'll have to manage and outside of the Fanatic I think it is an interesting mechanic that adds another level of inventory and item management, and as long as you recognize the necessity to rush the Sanguine Vinters, which produces two vials of blood each week, this too never gets too overwhelming from my experience.

On top of this, the Crimson Court adds incredibly engaging lore, a really cool aesthetic, an interesting new area (although I hate the crocodilian boss and the Epic length layouts are probably a bit **too** long) If you treat the DLC for what it is, that being a harder, new way to experience the Darkest Dungeon campaign, I think it succeeds at that exceptionally well.

Also the Flagellant rules what a sick character whose role as a bleed stacker with consistent, strong healing opens up so many more teamcomps. If you enjoyed your playthrough of the base game and are looking for a different take on it, definitely get Crimson Court. Otherwise, you are probably better off waiting for a sale and buying the DLC for cheap for the Flagellant (who can be enabled seperately from the Crimson Court campaign).",76561198158015575,0,11,0,0,,1970-01-01T00:00:00+00:00
steam,580100,Crimson Court,True,unknown,192631616,english,2025-04-13T03:57:04+00:00,2025-04-13T03:57:04+00:00,False,33,4,0,0.717974185943603516,,False,False,,"This dlc will bug you until you interact with it, literally, it will replace ALL random town events with mosquitoes that reduce stress removal.  kinda like a little kid that repeats ""Hey watch this"" over and over until you respond.

In this metaphor the little kid then flips their eyelids inside out and proceeds to run around screaming and wreaking the place because you finally got annoyed enough to tell them to stop. 

As soon as you interact with this dlc that demands your attention, it invades the rest of the game, mobs will spawn that spread a curse to your heroes that if you where not prepared to deal with vampire aids, you are cooked.

I get that it warns you that you shouldn't enable it on a frist run. However that doesn't do it justice. It might be better locked behind a new games+ for when you've first BEATEN the game. 

The most galling part is it lists the first dungeon as a level one and then when you go to treat it as a level one it pops up a box that says ""Oh actually you should send level 3s in here"". If only there was an easy way you could convey the difficultly of a level with easy to read numbered values and color say green to red for easy to hard.",76561198047826945,0,10,0,0,,1970-01-01T00:00:00+00:00
steam,580100,Crimson Court,True,unknown,203296092,english,2025-09-01T02:50:06+00:00,2025-09-01T02:50:06+00:00,False,22,0,0,0.699630081653594971,,False,False,,"I think the mixed reviews are deserved.  

Good:
The bosses are very difficult and the new dungeons are massive and persistent (you can leave and come back).  Neat to go through.  Note that the first visit is just a normal dungeon, not persistent.

Bad:
There's a lot of padding/grinding.  Each visit to the crimson court requires an invitation.  To get an invitation, you need to wait for your town infestation to grow to high.  Takes several weeks.  Then you need to go into a dungeon and hope to find a gatekeeper.  Kill the gatekeeper before he runs away, and you got an invitation.  You can't store invitations, because each boss requires a new type of invitation. 

Repeat this process every time you want to make progress in the new massive persistent dungeon.  You'll spend more time grinding invitations than clearing the Crimson Court.  This is not good design.",76561198004369747,0,20,0,0,,1970-01-01T00:00:00+00:00
steam,580100,Crimson Court,True,unknown,202823617,english,2025-08-25T00:18:40+00:00,2025-08-25T00:18:40+00:00,True,15,0,0,0.676960110664367676,,False,False,,"I think a lot of people fail to realise that this dlc is meant to spice of the game for experienced players. Yes its intrusive and can be very annoying at times, but the enemies, items, new dungeon and mechanics add complexity that is much needed on a second play-through of the game. The fanatic mechanic is kind of terrible as there is basically no way to prepare for him on your first run in, and most players are basically guaranteed to have a team wiped by him. By far the worst part of the dlc. Otherwise this dlc does what it sets out to do very well, and is a lot of fun.",76561198100449025,0,19,0,0,,1970-01-01T00:00:00+00:00
steam,580100,Crimson Court,True,unknown,212916971,english,2025-12-09T14:29:59+00:00,2025-12-09T14:29:59+00:00,True,10,0,0,0.653815984725952148,,False,False,,"Very good DLC, but do not use it on your first playthrough (or wait a few in-game weeks before activating it) as it makes the game more difficult and forces you to do quests in the new location.
Also: don't underestimate the crocodilian.",76561199681442449,31,5,0,0,,1970-01-01T00:00:00+00:00
steam,580100,Crimson Court,True,unknown,203182422,english,2025-08-30T13:49:32+00:00,2025-08-30T13:49:32+00:00,True,9,7,0,0.649594008922576904,,False,False,,"Don't buy it. This is annoying and just makes the game worse.

Unless you're a masochist like me",76561199169516147,0,4,0,0,,1970-01-01T00:00:00+00:00
steam,580100,Crimson Court,True,unknown,189051532,english,2025-03-01T11:20:56+00:00,2025-03-01T11:20:56+00:00,True,9,0,0,0.623379051685333252,,False,False,,"Really cool DLC thats definitely worth it IF you have finished the base game and want more content, warning it is not easy and probably not worth it for a first playthrough.",76561199095412633,180,3,0,0,,1970-01-01T00:00:00+00:00
