source,appid,game_name,is_dlc,player_type,review_id,steam_language,created_at,updated_at,voted_up,votes_up,votes_funny,comment_count,weighted_vote_score,steam_purchase_type,received_for_free,written_during_early_access,steam_deck,review_text,author_steamid,author_num_games_owned,author_num_reviews,author_playtime_forever,author_playtime_last_two_weeks,author_playtime_at_review,author_last_played
steam,702540,Shieldbreaker,True,unknown,190528134,english,2025-03-18T10:05:49+00:00,2026-01-09T13:51:54+00:00,True,4,0,0,0.574679017066955566,,False,False,,"I enjoyed this DLC. It adds a useful character, a short quest, and an extra consumable. The camping nightmares bring an extra layer of challenge to your runs, so be prepared. Worth picking up - especially on sale.",76561198206178121,658,142,0,0,,1970-01-01T00:00:00+00:00
steam,702540,Shieldbreaker,True,unknown,195790929,english,2025-05-27T21:48:38+00:00,2025-05-27T21:48:38+00:00,False,11,1,0,0.544331133365631104,,False,False,,"Someday we'll figure out how to make a ""hardcore"" game without just throwing around BS.

This DLC gives you a kind of OP character in exchange for you having to fight a bunch of OP enemies the first seven times you camp with her. I sincerely wish I hadn't installed this garbage DLC.",76561198054504636,504,140,0,0,,1970-01-01T00:00:00+00:00
steam,702540,Shieldbreaker,True,unknown,192430528,english,2025-04-10T13:56:55+00:00,2025-05-06T15:57:49+00:00,True,5,0,0,0.575908422470092773,,False,False,,The Shieldbreaker is a strong and versatile character. Don't be put off by the reviews complaining about having to deal with her snake trauma on campouts. It's all part of life's rich pageant.,76561198038520959,0,147,0,0,,1970-01-01T00:00:00+00:00
steam,702540,Shieldbreaker,True,unknown,207775994,english,2025-10-28T09:21:44+00:00,2025-10-28T09:21:44+00:00,True,3,0,0,0.518813073635101318,,False,False,,"Wife material.
Strong, fun,unique.
Fair price.
",76561198107344360,210,223,0,0,,1970-01-01T00:00:00+00:00
steam,702540,Shieldbreaker,True,unknown,209209142,english,2025-11-14T17:20:09+00:00,2025-11-14T17:20:09+00:00,False,1,0,0,0.523809552192687988,,False,False,,"Does she look OP? She is, and that's ""balanced"" by being punished for camping with her 7 times. I regret buying this and probably won't ever enable it again, so I definitely can't recommend it.",76561197965370783,0,97,0,0,,1970-01-01T00:00:00+00:00
steam,702540,Shieldbreaker,True,unknown,186937489,english,2025-02-01T20:50:51+00:00,2025-02-01T20:50:51+00:00,True,1,0,0,0.519999980926513672,,False,False,,"Shieldbreaker made my game much easier! Like, a concerning amount of easier. It's balanced mostly by her nightmares if you take her camping(you'll have to even on Radiant/easy) which are a hassle, and almost always spike her stress up hard. It makes her leave any outing worse than she's gone into it and forces a break from her pretty easily. For more hardcore fans they'll probably see her mechanics as just as good as other existing characters they've already mastered, newer fans will probably be a little irritated by how good she is but being locked behind a paywall.

Tips and tricks for the interested:

-I loved using a modified Coach to get a Lvl 2 or higher Shieldbreaker just to send on short missions to level up the rest of my fodder-er, my up and coming group. It avoids camping and makes the best use of her in my opinion

-Like the Jester, she's best dancing from position to position. Keep her with a character the also has moves the move them forward and backward for maximum potential 

-Aegis Scales are really good items, farmed or just hoarded for the right moment",76561198400890911,27,61,0,0,,1970-01-01T00:00:00+00:00
steam,702540,Shieldbreaker,True,unknown,198510759,english,2025-06-30T00:58:25+00:00,2025-11-04T23:53:38+00:00,True,10,0,1,0.584734618663787842,,False,False,,"Reviewing (mostly) every game (or DLC) in my library, part 141:

⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️☆☆ (8/10)

[i] Darkest Dungeon: The Shieldbreaker[/i] is a great DLC class. She’s a highly tactical, high-risk, high-reward assassin with strong self-sufficiency, great mobility, and top-tier utility. The Shieldbreaker adds depth to your roster, but she also adds pressure with powerful movement and DOT skills balanced by low HP and a unique stress mechanic.

🐍 [b]Pros:[/b]
[list]
[*] Unique and tactical combat style. The Shieldbreaker thrives on movement and DOTs (Damage Over Time), with an incredibly dynamic kit that rewards careful positioning. Her Pierce, Puncture, and Adders' Kiss abilities bypass enemy protections and shred backline threats.

[*] High mobility. She can move forward or back while staying deadly, which makes her ideal for comps that mess with position or fight in chaotic dungeons like the Courtyard or Farmstead. Her ability to remain effective across all ranks makes her super flexible.

[*] Armor-piercing and debuff-focused. She's built to counter tough enemies with high PROT or annoying guard mechanics. Against enemies that turtle up, she’s an MVP.

[*] Built-in narrative and challenge. The Shieldbreaker has a unique “Nightmare” mechanic tied to camping. At random (unless turned off), she’ll relive traumatic memories through challenging ambushes that test your squad. It adds flavor, tension, and lore to your runs.

[*] Rich backstory and flavor. Her past is haunting and detailed, revealed through journal entries unlocked by surviving Nightmare battles. It adds narrative weight to an already compelling character.
[/list]

 😰[b] Cons:[/b]
[list]
[*] The Nightmares can be brutal. While flavorful, the camping ambushes can wreck an unprepared team. Until you’re familiar with them, they’re a major risk, especially on longer expeditions.

[*] Very low HP and stress-vulnerable. She’s fragile, and because she suffers extra stress damage from Nightmare battles, it’s easy to lose her if you’re careless. You need to build your team with stress healing or anti-ambush strategies.

[*] High skill floor. Her toolkit is powerful but demands finesse. If you don’t manage positioning or forget to build around her DOT strategy, she’ll underperform or die fast.
[/list]
[hr]
If you enjoyed this review, please check out my curator page to find more: [url=https://store.steampowered.com/curator/45814768-Verdict-Play-or-Pass/]Verdict: Play or Pass. [/url] Also, please leave a like and visit [url=https://steamcommunity.com/groups/Indie_Gems]IndieGems[/url] and our YouTube channel for more reviews like this one. 
[/hr]",76561198984656750,348,591,0,0,,1970-01-01T00:00:00+00:00
steam,702540,Shieldbreaker,True,unknown,196421429,english,2025-06-05T00:44:36+00:00,2025-06-05T00:49:05+00:00,True,0,0,0,0.5,,False,False,,"[h1] hissssssssssssss [/h1]
Whenever you camp and have a Shieldbreaker on your team there is a chance for her to have a nightmare where your team has to fight snakes. I like the nightmare fights especially since at the end of all of them shieldbreaker gets a free buff whenever she camps and the snakes are fun to fight. The only stuff I don't like about the nightmares is there is no music for them and shieldbreaker takes 20 stress every round. I just wish Stuart Chatwood would've made a new track for the nightmares I know it'd be small but it would've been a chance to do something different with the music in this game which would've been really cool instead of just hearing the wind howl as your heros battle nightmare snakes.


Great Dlc and the closest this game comes to being pay to win. I like shieldbreaker a lot she's a fun and versatile hero she can work in dance teams has armor piercing and blight artwork is great too.",76561198355357153,35,22,0,0,,1970-01-01T00:00:00+00:00
steam,702540,Shieldbreaker,True,unknown,207443359,english,2025-10-24T07:06:34+00:00,2025-10-24T07:06:34+00:00,True,1,0,1,0.5,,False,False,,"This character was fine, even if it was the developers Specialest Little Character.",76561198054138898,0,928,0,0,,1970-01-01T00:00:00+00:00
steam,702540,Shieldbreaker,True,unknown,204777362,english,2025-09-20T12:41:06+00:00,2025-09-20T12:41:06+00:00,True,1,0,1,0.5,,False,False,,"by far my favorite character. Her moveset feels great to use.... you just have to have a team that are comfortable with attacking while in certain positions and you have to deal with the nightmare mechanic. Other than that, she's super well-made",76561198195401935,1321,71,0,0,,1970-01-01T00:00:00+00:00
