source,appid,review_id,steam_language,created_at,updated_at,voted_up,votes_up,votes_funny,comment_count,weighted_vote_score,steam_purchase_type,received_for_free,written_during_early_access,steam_deck,review_text,author_steamid,author_num_games_owned,author_num_reviews,author_playtime_forever,author_playtime_last_two_weeks,author_playtime_at_review,author_last_played
steam,2420510,193155197,english,2025-04-20T03:30:45+00:00,2025-04-20T03:30:45+00:00,True,63,1,0,0.825661599636077881,,False,False,,"This game is free.  This game is the best in the genre. 

Imagine a cuter Vampire Survivors.  
Now throw in a minigame jump sidequest area.  A full working casino.  Mining and woodcutting.  Crafting. Fishing.  Home base building.  

A ""gacha"" system which is completely free to scratch the gambling itch for cute pixelated waifus.
Level up system for account.  Level up system for characters.  Level up system with fandom.  Over 200 achievements.

This game deserves to be in your catalogue.

Again, best in the genre and free.  Feel free to @ me.",76561198174878435,0,2,3126,0,1118,2025-05-25T06:42:58+00:00
steam,2420510,213448279,english,2025-12-16T21:20:20+00:00,2025-12-16T21:20:20+00:00,True,47,3,0,0.817323982715606689,,False,False,,"I have no idea who or what these characters are but the gameplay loop is quite fun. Also, a free game with no microtransactions in this day and age is quite unusual in a great way.",76561198271585568,0,36,2491,0,2382,2025-12-23T20:18:33+00:00
steam,2420510,194874781,english,2025-05-14T11:38:31+00:00,2025-08-23T04:28:57+00:00,True,95,15,3,0.855840682983398438,,False,False,,">Never watched Hololive before
>Randomly came across the news that Gura is graduating
>Immediately realized its cultural significance and how much I missed
>Decided to give this game a try, and was hooked not only by the trivia but also by the gameplay
>Thanks to the developers for presenting the most iconic traits of various VTubers in such an amazing game, and thanks to the clippers for capturing the moments and making them into a more digestible form
>2 weeks later: half of my YouTube feed is now hololive content

>Apparently, HoloCure is my first and only ""survivor"" game.
>But with my personal experience, I'm certain that you can enjoy it without being a Hololive Fan.
>And with my limited time of watching ""Survivor"" game streams(thanks again to HoloCure), I can assure you that it's one of the best ""Survivor"" games out there.
>The Music is superb, after all, Hololive is an idol company.
>The uniqueness of Characters is at the better end of this genre.
>There is a built-in casino and a home builder mini game. And if you don't like, you can ignore them entirely.
>The game is free and without micro transactions; everything can be bought with in-game currency.
>There is no need for heavy grinding. After trying every character once or twice, you will naturally have enough in-game money to buy every relevant upgrade.
>Though slow, the developers are still adding new contents other than new characters. Please give it a try, and maybe a larger player base will be an incentive to the developers.",76561198071281052,156,15,10813,0,10545,2025-12-20T05:09:19+00:00
steam,2420510,197184808,english,2025-06-14T03:55:52+00:00,2025-09-11T03:11:53+00:00,True,35,1,0,0.79047858715057373,,False,False,,"[b]Original review[/b]:
Let me preface this by making it very clear that I don't know a single thing about vTubers or Hololive.  But I'll be damned if this isn't a great game! I've played Vampire Survivors and many others like it and this is borderline criminal being free to play. It is very well made and executed and puts the vast majority of similar games of the genre to shame with the sheer number of characters, items to unlock and mini-games to keep you busy.

[b]Completed the game[/b]:
25hrs in and I've completed the game with Amelia from start to finish. I've gotten all her outfits, maxed out her bonuses, and I'm very close to purchasing the final stat points as well. The game is great. The stages got progressively harder and scaled quite nicely. I look forward to doing it all over again with the next character.",76561197972391438,725,152,2225,0,1459,2025-11-28T10:00:58+00:00
steam,2420510,191810586,english,2025-04-02T16:10:52+00:00,2025-04-02T16:10:52+00:00,True,36,1,0,0.775814950466156006,,False,False,,"You'll be surprised that it's free. I know nothing about vtubers but I loved vampire survivors and wanted another similar game to play in my downtime, and was very very surprised as the content available in this free download.

So many funny little things, even if you don't understand the references.",76561198256101916,0,5,3038,0,3038,2025-03-31T02:05:28+00:00
steam,2420510,208760325,english,2025-11-08T23:52:22+00:00,2025-11-08T23:52:22+00:00,True,35,1,0,0.767888426780700684,,False,False,,This game has an unreasonable amount of proper good content for being free,76561199257531921,167,31,234,0,130,2025-11-21T18:59:57+00:00
steam,2420510,201348940,english,2025-08-03T09:48:08+00:00,2025-08-03T09:48:08+00:00,True,33,0,2,0.767311394214630127,,False,False,,"It's free, fun, and has no micro-transactions. I mean, give it a go at least",76561198051286759,486,76,4054,0,3992,2025-08-24T09:02:40+00:00
steam,2420510,203676328,english,2025-09-06T08:16:15+00:00,2025-09-06T08:16:15+00:00,True,36,5,0,0.757618248462677002,,False,False,,"-Remembers game exists and opens it
-Goes to the Holo-home section and discovers the Usada Casino
-Enters and is immediately beaten by Tokino Sora in rock paper scissors
10/10 Very realistic",76561198096226891,249,4,688,0,688,2025-08-23T05:16:02+00:00
steam,2420510,199522959,english,2025-07-11T09:34:26+00:00,2025-07-11T09:34:26+00:00,True,43,8,2,0.804353177547454834,,False,False,,"When I started playing, I barely knew what Hololive was, but I still had much fun. Now, I am a Gigi fan and she's not even in the game!",76561198345008835,204,11,2003,0,1626,2025-10-11T21:31:42+00:00
steam,2420510,202080146,english,2025-08-14T01:05:22+00:00,2025-08-14T01:05:22+00:00,True,21,0,0,0.73437809944152832,,False,False,,"For a free game, this one hits hard.

Solid, survivor-like game with a different twist. There is a ""home"" area where you can farm, fish, craft, cook, and gamble. Though it's super bare bones, once again, this game is free. The survivor portion of the game feels just as good (if not better) than a lot of the competition out there. It's pretty impressive. I have no idea what Holo-live is, but I've been on a suvivor-like kick lately, so I picked it up.

The one thing this game does better than many in the genre is make each character feel unique. Each vtuber has different skills and specials (3 unique skills each, and one ultimate) which allows them to play differently with different load outs. Some you will want to build with extra healing and ranged, and some you will do the opposite. Many of this genre's titles have clear winners with abilities and weapons you can pick, but I felt like I was playing differently when I was switching between characters.

That being said, there is still some room for improvement in the build diversity department. There aren't a ton of skills, but the combo system and stamps for your weapons helps quite a bit. Again, this game is free, and I would have gladly paid for this.

Overall 8/10 for the genre. Plenty of playtime, and plenty of achievements if you're into that. It's worth a download for sure.",76561198071681326,435,136,1438,0,1438,2025-08-14T00:58:33+00:00
