source,appid,review_id,steam_language,created_at,updated_at,voted_up,votes_up,votes_funny,comment_count,weighted_vote_score,steam_purchase_type,received_for_free,written_during_early_access,steam_deck,review_text,author_steamid,author_num_games_owned,author_num_reviews,author_playtime_forever,author_playtime_last_two_weeks,author_playtime_at_review,author_last_played
steam,3862670,214865019,english,2026-01-01T23:02:26+00:00,2026-01-01T23:02:26+00:00,True,64,2,3,0.84001845121383667,,False,False,,I went in with low expectations because the main character was a geriatric turtle capturing jellyfish with a bubble gun. I was pleasantly surprised by how satisfying the game was to play. I was even a little bummed out when it was over and the little guy went back to napping.,76561197992764570,1945,152,382,0,382,2025-12-25T06:57:08+00:00
steam,3862670,210281867,english,2025-11-25T03:14:31+00:00,2025-11-25T03:14:31+00:00,True,44,1,0,0.814027845859527588,,False,False,,"This game is made with LOVE
Short but very fun, can be done in one night",76561198065428568,0,18,222,0,222,2025-11-25T03:12:35+00:00
steam,3862670,211396645,english,2025-11-28T13:02:43+00:00,2025-11-28T13:02:43+00:00,True,39,0,1,0.775877535343170166,,False,False,,"i like turtles!

great little incremental game, progression feels awesome, ends just in time to not become stale",76561198047718073,722,16,276,0,276,2025-11-24T15:02:35+00:00
steam,3862670,215614283,english,2026-01-10T03:01:11+00:00,2026-01-10T03:01:11+00:00,True,37,0,1,0.771689355373382568,,False,False,,"A short, sweet, and immensely satisfying incremental game about helping an old turtle go back to bed by selling jellyfish. Great art, an addictive gameplay loop, and perfect for a cozy night!",76561198839939530,285,119,229,0,229,2026-01-10T02:43:06+00:00
steam,3862670,212924328,english,2025-12-09T16:34:42+00:00,2025-12-09T16:34:42+00:00,True,40,0,1,0.768669605255126953,,False,False,,"Incredibly fun and addictive little incremental game where progression genuinely feels like the most satisfying thing in the world. I've been zoning out playing this and have felt so calm, I owe this entirely to Shelldiver! 
",76561198007454243,1133,9,296,0,296,2025-12-09T16:32:12+00:00
steam,3862670,209460689,english,2025-11-17T10:41:22+00:00,2025-11-17T10:41:22+00:00,True,27,1,0,0.752902686595916748,,False,False,,"Good little game.
Only about 3.5-4hrs of content but it's enjoyable
Warning - last half hour or so contains ALOT of screen flash and shake that cannot be disabled.",76561197969103960,0,61,212,0,205,2025-11-17T10:42:08+00:00
steam,3862670,209407718,english,2025-11-16T17:50:35+00:00,2025-11-16T17:50:35+00:00,True,29,1,0,0.729938328266143799,,False,False,,"10/10 incremental game, especially for the price.
It's like ""Dave the Diver"" meets ""Tower Wizard"".",76561198251657048,1350,196,329,0,30,2025-11-16T22:21:54+00:00
steam,3862670,209746494,english,2025-11-21T06:03:24+00:00,2025-11-21T06:03:24+00:00,True,19,2,0,0.696333408355712891,,False,False,,"Shelldiver is a charmingly aesthetic incremental game with an [b]active gameplay loop[/b] where you play as a turtle reluctantly starting a jellyfish-selling business. You dive into [b]bite-sized runs[/b] to collect the aforementioned creatures and resources, which both slowly restore the island and fuel your ever-growing collection methods. The exponential growth is paced just right, collecting rewards has weight and is made more enjoyable with upgrades, and the repetitive cycle remains fun for the entire duration. Environment interactions and menu selections also have a noticeably [b]satisfying[/b], [b]snappy energy[/b] to them. One or two cozy evenings are enough to reach the humorously fitting ending to this game.",76561199593932362,104,68,367,0,366,2025-11-24T20:01:10+00:00
steam,3862670,214562166,english,2025-12-29T17:42:11+00:00,2025-12-29T17:42:11+00:00,True,21,3,0,0.694327414035797119,,False,False,,"Very fun, although the loop gets repetitive.

Either way, was fun to 100%, very cute. Fug the jellyfish, sell them britches.

9/10 - mew mew",76561197992866052,3935,259,208,0,208,2025-12-29T17:41:16+00:00
steam,3862670,212285563,english,2025-12-01T10:59:24+00:00,2025-12-01T10:59:24+00:00,True,20,0,0,0.68215787410736084,,False,False,,"Tbh I wasn't expecting to enjoy this game so much! 
It's a good game where you can relax and play at the same time.
I really hope to see at least a DLC or more content in the future,it would be really nice.",76561199105263397,142,5,357,0,357,2025-12-01T10:55:09+00:00
