source,appid,review_id,steam_language,created_at,updated_at,voted_up,votes_up,votes_funny,comment_count,weighted_vote_score,steam_purchase_type,received_for_free,written_during_early_access,steam_deck,review_text,author_steamid,author_num_games_owned,author_num_reviews,author_playtime_forever,author_playtime_last_two_weeks,author_playtime_at_review,author_last_played
steam,2220360,209850141,english,2025-11-22T14:59:23+00:00,2025-11-22T14:59:23+00:00,True,43,1,9,0.810374975204467773,,False,False,,"Surprisingly good, I love coming across an unexpected gem, Paper Lily is well worth your time. The art style is simple, almost harmless, and then the horror hits in ways that feel sharp and creepy.  The gameplay is straightforward explore, solve puzzles, make choices but those choices actually matter. Little details shift depending on what you do, and it makes the whole game feel uneasy, like you’re always one step from a bad outcome. The puzzles are fair, and the atmosphere carries everything. Lacie’s awkward, anxious nature feels real, and it makes the darker moments hit harder. The story doesn’t spell things out, and that works in its favor.

",76561198062506049,990,918,538,0,209,2025-11-22T20:25:37+00:00
steam,2220360,200731637,english,2025-07-26T06:46:39+00:00,2025-07-26T06:48:15+00:00,True,35,0,1,0.795623302459716797,,False,False,,"My girlfriend helped make the music in this game and I love seeing her hard work in it. We've been playing it together while she tries to guide me on the game (I don't know what I'm doing) to get me to beat it, it's been fun so far, and in my biased opinion, the game is very good! :D",76561199214182118,0,12,80,0,80,2025-05-17T01:45:21+00:00
steam,2220360,214404484,english,2025-12-28T03:33:40+00:00,2025-12-28T03:43:04+00:00,True,26,0,0,0.76052248477935791,,False,False,,"Absolutely criminal that the devs gave this out away for free. I expected a one hour at most chapter. I got FOUR hours of content. If you love Horror RPGs, give it a try.

I thought I'd reach a bad ending because I kept fininshing zones and ""throwing away"" a bunch of items I didn't use. Turns out I just absolutely missed a ton of content even though I try to make sure to explore thoroughly every area. There's probably much, MUCH more than just FOUR hours of content. ALL FOR FREE. You can clear every puzzles/areas in like four different ways. There's an entire zone somewhat early on that just gives you a bad ending if you enter it without the correct items but can be cleared if you have said items. It's nuts.

Seriously, give it a try.",76561198167803625,0,19,247,0,247,2025-12-28T03:29:35+00:00
steam,2220360,188259686,english,2025-02-19T10:20:15+00:00,2025-02-19T10:20:15+00:00,True,31,0,0,0.755554139614105225,,True,False,,"Severely underrated, devs did wonderfully, great story and characters. a great time consumer if you're bored, and free :)
10/10 definitely give it a try",76561199406782805,56,12,1579,0,1044,2025-12-24T00:14:11+00:00
steam,2220360,194082432,english,2025-05-02T21:48:23+00:00,2025-05-02T21:48:23+00:00,True,27,0,0,0.751649856567382812,,False,False,,"One of the best indie games, and the best indie horror game overall that's out there
I highly recommend everyone plays it
Upsides:
-A great and intriguing story
-Genuinely somehow makes you care for the characters in a single game
-Lot of interaction options and many dialogue options 
-There is a cool reference to the prologue that I won't spoil

Downside(s):
-The story's too intriguing, you WILL be impatient for the next game to release",76561199153244747,0,3,562,0,562,2025-05-29T13:35:47+00:00
steam,2220360,189718334,english,2025-03-08T20:09:34+00:00,2025-03-08T20:09:34+00:00,True,24,0,0,0.719110548496246338,,False,False,,"Coming from Project Kat in 2021 I had high expectations for this game, but after playing and 100%ing this game I have to say they were completely wrong... I severely underestimated the devs, this game has been nothing but fun from start to finish and I cannot wait for Chapter 2",76561198360691590,0,11,412,0,412,2025-03-08T20:01:39+00:00
steam,2220360,207981009,english,2025-10-30T18:34:43+00:00,2025-10-30T18:34:43+00:00,True,17,0,0,0.713790059089660645,,False,False,,"I’m honestly impressed. Paper Lily is one of those rare indie horror gems that hits you right in the heart. The story, visuals, and sound design are just *chef’s kiss — calm, eerie, and emotional at the same time.

It gave me strong nostalgia from old RPG Maker horror games like Mad Father and Misao, but this one feels more mature and cinematic. Every small detail — lighting, dialogue, music — feels intentional. You don’t get cheap jumpscares here; you get that slow, psychological tension that stays in your head for hours (in a good way).

If Chapter 2 comes out and it’s paid? Take my money already 💸

9.2/10 — Would get emotionally attached to another mysterious girl again.",76561199636385170,53,5,1322,0,1322,2025-10-30T18:31:33+00:00
steam,2220360,191806907,english,2025-04-02T15:18:13+00:00,2025-04-02T15:18:13+00:00,True,15,0,0,0.694060027599334717,,False,False,,"One of the best, if not the best game I've played. fun puzzles, story, game play. EVERYTHING IS PERFECT. can't wait for chapter 2",76561199070121023,0,9,1224,0,1223,2025-04-16T20:53:56+00:00
steam,2220360,203464919,english,2025-09-03T20:34:12+00:00,2025-09-03T20:34:12+00:00,True,18,0,0,0.690696001052856445,,False,False,,"Why is this game free? The quality is insane. The characters are unique and memorable, the story is gripping and well-written, the soundtracks are beautiful, and the maps are incredibly well-designed. 10/10 experience and game. I can't wait for chapter 2. <3",76561199109203394,0,30,864,0,864,2025-08-29T19:17:41+00:00
steam,2220360,197393377,english,2025-06-16T17:28:36+00:00,2025-06-16T17:28:36+00:00,True,15,0,0,0.66883927583694458,,False,False,,"absolute cinema. If you love rpgmaker games you should def play this, cant wait for chap 2",76561199223400770,30,3,627,0,189,2025-10-05T05:28:47+00:00
