source,appid,review_id,steam_language,created_at,updated_at,voted_up,votes_up,votes_funny,comment_count,weighted_vote_score,steam_purchase_type,received_for_free,written_during_early_access,steam_deck,review_text,author_steamid,author_num_games_owned,author_num_reviews,author_playtime_forever,author_playtime_last_two_weeks,author_playtime_at_review,author_last_played
steam,1307580,206310923,english,2025-10-10T04:35:19+00:00,2025-10-10T04:35:19+00:00,True,16,0,0,0.700749695301055908,,False,False,,"Toem may be short clocking in at around three hours but those hours are absolutely delightful. Each area feels distinct and offers its own charm, giving players a fresh experience every time they hop on the bus. There’s a surprising amount to photograph, and before long, I found myself instinctively snapping shots of objects and moments that turned out to be tied to quests, even when I wasn’t sure. For the most part, Toem makes it clear when you should interact or take photos, keeping the flow of exploration smooth and satisfying. The biggest drawback, though, is its brief runtime. I was honestly surprised when the credits rolled so soon I would’ve loved one or two more regions to explore, especially since wandering around taking pictures and meeting quirky characters never stopped being fun. There are a few small design quirks, like the limited quest log space and how it’s tied to the bus pass, but nothing that seriously hurts the experience. The monochrome art style is a huge standout it’s rare to see it done this well, and it gives the game a cozy, storybook like atmosphere. The soundtrack complements each area beautifully, and the ability to choose your own tunes adds a nice personal touch. If you’re unsure because of the price to playtime ratio, I’d suggest waiting for a sale. Otherwise, Toem is a short but heartwarming adventure that’s well worth taking and one I’d gladly revisit again.",76561198062506049,990,918,576,0,576,2025-10-20T11:48:31+00:00
steam,1307580,213294976,english,2025-12-14T17:19:09+00:00,2025-12-14T17:19:09+00:00,True,13,0,0,0.683837711811065674,,False,False,,"a cozy christmas pick up you must have!

TOEM honestly captured my 7 hours of attention to 100% my game of the year journal (´▽`ʃ♡ƪ)",76561198974339718,1236,111,418,0,418,2025-12-04T12:46:49+00:00
steam,1307580,203567793,english,2025-09-05T03:22:30+00:00,2025-09-05T03:22:30+00:00,True,17,5,0,0.721244573593139648,,False,False,,"Once you beat this game, you'll speak of it as some kind of former wife whom you loved with your soul but died spontaneously or something like that (im crushed in the best way possible)",76561199160905199,0,1,936,0,936,2025-09-05T03:12:45+00:00
steam,1307580,189898499,english,2025-03-10T20:29:16+00:00,2025-03-10T20:29:16+00:00,True,15,0,0,0.666561245918273926,,False,False,,"A short (4h for 100% completion), but very sweet and wholesome puzzle game. Creative, innovative and truly engaging. A nice little break from everyday chaos.",76561198066073780,987,5,389,0,358,2025-03-11T18:12:20+00:00
steam,1307580,188003221,english,2025-02-15T23:55:58+00:00,2025-02-15T23:55:58+00:00,True,11,0,0,0.660181999206542969,,False,False,,"You know it's a good game when the in-game ""You should REALLY think about taking a break soon. Please?"" messages pop up a half-dozen times while playing...and you just keep on going. I just finished the game with 83% completion at just 3 hours, and I can't wait to go back and play even more!",76561198043661335,0,22,193,0,193,2025-02-15T23:55:00+00:00
steam,1307580,194708450,english,2025-05-11T19:25:02+00:00,2025-05-11T19:25:02+00:00,True,8,0,0,0.648688256740570068,,False,False,,"Very charming game that can be loved by players of any age and type. For those who do not take a moment to look at media in monochrome colors, I hope they would pick up this one too because art can be beautiful in grayscale.

- Search-and-find gameplay
- Searching complexity reminded me a lighter version of Tunic's second half of the game
- Plot is very down-to-earth. A protagonist goes out and takes photos. That's mainly it, but the simplicity gives the game experience time for the player to take their time to explore and enjoy photography
- Loved the camera features such as zoom and the filtering styles
- Comedy was in my alley, light and refreshing
- Great game for young children to play too, as long as they have reading comprehension
- Detailed animation: favorites were the weather conditions and the water/snowflakes landing on the lenses, the street crossing scene, and the subtle hints to find the requested photo
- Includes post-game content
- Didn't observe motion sickness 

There was only one instance, when I wanted to screen-record, and my Steam Deck went kaputt and the screen went black, but the mousepad was returning a haptic response. Once I force restarted the game and hesitantly screen-recorded a different scene, it worked. I didn't record as often however. (the scene that crashed my Steam Deck was the one where the ghost was playing a shuffle cup and guessing game)

I only played the main storyline, but at 90% completion, I was pretty content -- and impressed that I reached that high, I usually don't aim for 100%.",76561198252697494,17,6,235,0,235,2025-05-07T05:08:18+00:00
steam,1307580,191609793,english,2025-03-31T00:01:42+00:00,2025-03-31T00:01:42+00:00,True,12,0,0,0.637095391750335693,,False,False,,"Numerous other reviews have already mentioned qualities like graphics, audio, music, the writing, or how cute TOEM is in general, so instead I'd like to highlight how well designed it is.

Levels are easy to navigate, yet interesting.
Environments feel fresh, because the setting consistently changes before an area overstays it's welcome.
The quests are simple, but the reward is always worth the effort.
Core gameplay is limited in scope, though remains engaging throughout the game's runtime.

This game ticks all the boxes, and is a masterclass on how to properly realise a vision on a limited budget.
TOEM is an excellent game, and well worth your time.",76561198040986925,0,20,325,0,325,2025-03-30T23:36:22+00:00
steam,1307580,197662606,english,2025-06-20T01:06:49+00:00,2025-06-20T01:06:49+00:00,True,10,1,0,0.627329170703887939,,False,False,,"[h1]Toem: A Cozy Game Centered around Photography-Related Quests[/h1]

[h2][u]Overview[/u][/h2]
I’m a sucker for the task based “cozy” genre like [i]A Short Hike[/i]. Toem probably set the bar for this genre as my new favorite. It does everything right with solid game design choices and is just overall a pleasant experience that was perfect for unwinding at the end of the day.

[h2][u]Story[/u][/h2]
While I am a fan of the “Cozy” games, I desperately need some kind of drive to keep playing. Open-ended cozy games without a clear story to keep you moving and questing just feel aimless to me and I lose interest. Thankfully, Toem has no such problems and has a clear goal established from the very beginning. You’re on an adventure to tour a mystical sight, but it’s at the top of a mountain several towns away. Thus to fund this trip, you do quests for people to earn bus fare. You then take the bus to the next town and do more quests to earn more bus fare. Repeat until you make it to the final destination! It’s a simple premise and full of enough diverse locations, tasks, puzzles and cast of characters to keep it from getting stale. As a bonus, there was even a free DLC and a short vacation bonus story to play as an epilogue after you finish the base game.

[h2][u]Presentation[/u][/h2]
This game oozes style with its unique black and white presentation and music you can turn your brain off and hum along to. There are plenty of different locations to explore and each does a very good job capturing a different feeling. Each new biome has its own set of animals to find and snap pictures of, allowing the game to double as a collectathon – gotta snap them all! There is some customization where you can dress the main character up. Some of the dress up is required for the quests, but there’s plenty of optional clothes and accessories as well.

[h2][u]Gameplay[/u][/h2]
The game is highly integrated with the story – the game is essentially interacting with the world around you which feels very alive. As you take off from the bus stop you can ask to see how many stamps you require to go to the next area. Then off you go to talk with NPCs. As you help them out and complete tasks they’ll reward you with stamps and sometimes accessories/clothes or new gadgets or ways to progress through the area. 

The game is appealing to both completionists and casuals in its game design approach. You do not have to help every single NPC as there are far more tasks/stamps available than are required to proceed to the next area. But the number isn’t so overwhelming that you’d want to skip. Its really fun to try to 100% every area and do everything you possibly can. 

As you talk to NPCs your card will get updated with tasks for them. Sometimes you may be surprised and help them before you even realize it was a task. Other times it can be more complex or a bit harder to interpret what is meant to be done. But for the most part, the quests seemed to be at an engaging enough level to keep me interested but not so difficult that I ever wanted to skip any. At worst, there were a few times I felt kind of lost trying to hunt down very specific animals which were intended to be difficult to find in the first place. 

I played this game in the evenings before bed and it was a very relaxing experience and I never felt frustrated but wasn’t complete brain-off either.

[h2][u]Summary[/u][/h2]
Overall, Toem was such a delightful experience that I immediately had to send it to several of my friends. It’s cute, charming, and most importantly for a game—fun! It cured my life long depression even if only for a temporary 4 to 5 hours. But what a time that was. Honestly, I prefer shorter games as I am more likely to actually complete them. I think it was just the right length and didn’t ever feel close to overstaying its welcome. Super looking forward to the sequel.
",76561198062206693,0,137,278,0,278,2025-06-19T03:55:38+00:00
steam,1307580,192905536,english,2025-04-17T00:12:51+00:00,2025-04-17T00:12:51+00:00,True,8,0,0,0.624786794185638428,,False,False,,"A really cozy and cute adventure. It was so fun taking photos and exploring the world. The music is on point as well. I overall really liked the art style, and can't wait for the second one!",76561198089010814,718,96,286,0,286,2025-04-17T00:11:16+00:00
steam,1307580,190497322,english,2025-03-17T22:40:02+00:00,2025-03-17T22:40:02+00:00,True,10,0,0,0.618510067462921143,,False,False,,"91%. Just a great, relaxed, feel-good experience where you go around talking to people for various quirky sidequests where you take photos of things. The game never requires you to take pristine photos, it just wants you to have fun with its mechanics, which I love. The quality of life features are superb too, gotta love when you can choose the music at any time.",76561199662453506,114,20,273,0,184,2025-03-18T02:31:09+00:00
