source,appid,review_id,steam_language,created_at,updated_at,voted_up,votes_up,votes_funny,comment_count,weighted_vote_score,steam_purchase_type,received_for_free,written_during_early_access,steam_deck,review_text,author_steamid,author_num_games_owned,author_num_reviews,author_playtime_forever,author_playtime_last_two_weeks,author_playtime_at_review,author_last_played
steam,3454610,197061978,english,2025-06-12T16:40:57+00:00,2025-06-12T16:40:57+00:00,True,160,5,0,0.934405028820037842,,False,False,,"if this came out, say in 2000, it would be the kinda game you'd find in a cereal box and would be seared into your little 4 year old mind for decades to come. Considering it's free, that's exactly what it feels like. Thank you for the little game, you guys!!!!",76561198095553581,399,12,94,0,82,2025-06-18T21:39:47+00:00
steam,3454610,199182468,english,2025-07-07T07:58:53+00:00,2025-07-07T07:58:53+00:00,True,128,1,0,0.922184169292449951,,False,False,,"This game shouldn't be free, but I'm glad it was so I could experience it",76561199013462154,0,1,101,0,101,2025-07-07T07:48:04+00:00
steam,3454610,195508587,english,2025-05-24T00:12:27+00:00,2025-05-24T00:12:27+00:00,True,130,0,1,0.921045541763305664,,False,False,,"HOW is this FREE?!

An absolutely STUNNING little game that scratched an itch I forgot I even had, a huge throwback to my childhood days playing point-and-click gems like Putt-Putt and Pajama Sam. Poco captures that same whimsical, exploratory magic but gives it a delightfully modern, slightly twisted spin.

Every character you meet oozes personality, and the world? It's a visual treat packed with little offbeat, macabre touches that walk the perfect line between eerie and endearing.

And the soundtrack? Absolute perfection. A whole vibe. Like a warm hug wrapped in a little mystery. Chef’s kiss.

This game didn’t just exceed my expectations; it reminded me why I fell in love with games in the first place. 

Download it, play it, and thank me later.",76561198091451419,119,5,76,0,76,2025-05-24T00:05:24+00:00
steam,3454610,213165800,english,2025-12-13T03:20:12+00:00,2025-12-13T03:20:12+00:00,True,79,1,0,0.885965049266815186,,False,False,,"I love Poco. I would give up my life for Poco. Please, please, PLEASE make more Poco games, I wish this game was ten times as long as it is. 

Absolutely ADORABLE little game that deserves every single positive review it gets - do not pass this one up. It is WILD that this is free.",76561198010149434,0,12,107,0,107,2025-12-13T02:44:27+00:00
steam,3454610,201317514,english,2025-08-02T22:08:31+00:00,2025-08-02T22:08:31+00:00,True,69,0,0,0.869176387786865234,,False,False,,"This game really shouldn't be free ngl, WAY too good and unique in so many ways to not be paid for.",76561199217237529,84,6,99,0,99,2025-08-02T22:07:19+00:00
steam,3454610,197227212,english,2025-06-14T16:04:10+00:00,2025-06-14T16:04:10+00:00,True,69,1,0,0.854567348957061768,,False,False,,"What a wonderful game. I've paid £20 for a game and not enjoyed it as much. Wonderful little puzzles, music and graphics.
Thank you.",76561198021420679,64,1,103,0,103,2025-06-14T16:00:51+00:00
steam,3454610,200047517,english,2025-07-18T00:05:17+00:00,2025-07-18T00:46:25+00:00,True,58,8,2,0.852857887744903564,,False,False,,"One of the most creative games on Steam. Done by a group of students. For free.
Also the game is about a little clown that got kicked out of a circus so I can relate.",76561198000723965,402,52,113,0,113,2025-07-18T00:58:02+00:00
steam,3454610,201302773,english,2025-08-02T17:58:37+00:00,2025-08-02T17:58:37+00:00,True,46,0,2,0.808730363845825195,,False,False,,"If this dropped in the early 2000s, it’d be the kind of game you’d find in the back of a cereal box, seared into your little childhood mind for decades to come. A minimalist delight with simple mechanics and a soothing soundtrack, it’s the kind of game you boot up when you want to unwind.",76561198828606530,105,113,89,0,89,2025-08-02T14:14:22+00:00
steam,3454610,195600293,english,2025-05-25T05:40:19+00:00,2025-05-25T05:40:19+00:00,True,50,1,0,0.808182477951049805,,False,False,,"There is no possible way this game is free. Has great art, music, characters, puzzles, and a little bit of a dark twist. Great way to spend 2hrs!",76561198797887381,34,1,136,0,136,2025-05-25T05:37:32+00:00
steam,3454610,199812471,english,2025-07-14T21:34:38+00:00,2025-07-14T21:34:38+00:00,True,40,1,0,0.803889572620391846,,False,False,,"what a lovely little game :> such an interesting world and cast of characters, really fun to explore!",76561198253589572,222,2,101,0,101,2025-07-14T21:32:34+00:00
